Date,Nifty 50 Open,Nifty 50 High,Nifty 50 Low,Nifty 50 Close,Nifty 50 Shares Traded,Nifty 50 Turnover (Rs. Cr),Nifty 50 P/E,Nifty 50 P/B,Nifty 50 Div Ratio,Bond Price,Bond Open,Bond High,Bond Low,Bond Change %,GOLD Traded,GOLD  Value (Lacs),OIL Traded ,Oil Value (Lacs),INR-USD Conversion
22-Mar-14,6375.55,6381.5,6364.8,6376.2,20554799,588.33,17.97,2.93,1.43,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,61.0041
24-Mar-14,6392.15,6458.75,6392.15,6453.65,224296675,8405.09,18.19,2.97,1.41,8.785,8.785,8.785,8.785,-0.0014,15485,454439.74,62559,380564.25,60.7885
25-Mar-14,6424.25,6468.4,6423.75,6463.6,238144780,8365.6,18.22,2.97,1.41,8.788,8.788,8.788,8.788,0.0003,19716,572557.93,78438,474579.75,60.5016
26-Mar-14,6488.4,6497.5,6452,6474.45,272894538,9438.73,18.25,2.98,1.41,8.785,8.785,8.785,8.785,-0.0003,19290,553881.31,66732,401717.85,60.217
27-Mar-14,6484.45,6543.2,6474.35,6513.3,434048097,16229.81,18.36,3,1.4,8.824,8.824,8.824,8.824,0.0044,24481,695075.45,58292,355802.99,60.2573
28-Mar-14,6543.5,6584.9,6524.1,6578.3,243297360,9315.27,18.57,3.05,1.39,8.81,8.81,8.81,8.81,-0.0016,21204,599995.05,54331,332064.5,59.9304
31-Mar-14,6605.5,6616.6,6551.95,6597.05,297539570,10362.45,18.63,3.06,1.38,#N/A,#N/A,#N/A,#N/A,#N/A,19538,553873.1,51038,311748.17,59.9376
1-Apr-14,6622.6,6622.6,6563.4,6608.15,231586768,9174.58,18.66,3.07,1.38,8.81,8.81,8.81,8.81,0,15359,431158.82,60278,365282.1,59.938
2-Apr-14,6644.85,6651.9,6615.05,6646.35,274784100,10623.37,18.76,3.09,1.37,8.962,8.962,8.962,8.962,0.0173,16110,450169,67119,400029.37,59.9205
3-Apr-14,6660.35,6662.65,6587.15,6625.05,305824697,10412.76,18.7,3.08,1.38,9.008,9.008,9.008,9.008,0.0051,12801,360194.2,61895,372427.96,60.1066
4-Apr-14,6629.65,6629.65,6582.15,6589.95,250243221,9279.3,18.6,3.06,1.38,9.065,9.065,9.065,9.065,0.0063,14508,409228.34,52237,317869.51,60.0086
7-Apr-14,6590.75,6619,6543.7,6591.1,221568757,9015.67,18.61,3.06,1.38,9.104,9.104,9.104,9.104,0.0043,9825,277951.69,63370,384782.2,60.0703
8-Apr-14,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7245,206429.82,46516,284588.17,60.1158
9-Apr-14,6617.65,6702.9,6607.4,6691.9,272706398,11649.57,18.89,3.11,1.36,9.035,9.035,9.035,9.035,-0.0076,14366,408850.5,65462,405049.03,60.1602
10-Apr-14,6698.95,6724.1,6679.35,6703.45,346528414,13273.71,18.93,3.11,1.36,9.002,9.002,9.002,9.002,-0.0037,14932,428533.24,54157,337562.9,60.0944
11-Apr-14,6667,6694.7,6655.15,6681.85,250916542,10450.73,18.86,3.1,1.37,8.944,8.944,8.944,8.944,-0.0064,11622,334181.65,50688,317398.01,60.2661
14-Apr-14,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5257,151956.68,28123,176415.81,60.2682
15-Apr-14,6696.05,6712.55,6611.45,6628.75,219592749,9543.5,18.72,3.08,1.38,8.955,8.955,8.955,8.955,0.0012,19477,556514.95,54118,338127.32,60.3067
16-Apr-14,6624.3,6649.65,6562.9,6572.8,249348271,9630.37,18.56,3.05,1.39,8.966,8.966,8.966,8.966,0.0012,15607,444652.88,74465,467590.67,60.3629
17-Apr-14,6593.45,6676.1,6584,6673.65,234088383,9520.53,18.82,3.1,1.37,8.853,8.853,8.853,8.853,-0.0126,11364,324073.63,70818,444747.52,60.3112
21-Apr-14,6684.55,6722.75,6684.55,6716.1,204728862,8083.86,18.93,3.12,1.36,8.864,8.864,8.864,8.864,0.0012,12120,344224.83,58701,369033.33,60.4436
22-Apr-14,6722.95,6736.35,6707.35,6715.85,199809297,7885.84,18.93,3.12,1.36,8.854,8.854,8.854,8.854,-0.0011,15745,450105.84,61163,382971.81,60.7124
23-Apr-14,6723.9,6755.15,6721.3,6737.2,310888810,12538.04,18.99,3.13,1.35,8.851,8.851,8.851,8.851,-0.0003,12595,361988.05,61166,381646.82,61.0264
25-Apr-14,6751.7,6752.85,6679.85,6691.6,270777027,10943.71,18.86,3.11,1.36,8.885,8.885,8.885,8.885,0.0038,16182,467319.08,68642,424247.93,60.7398
28-Apr-14,6689.55,6698.1,6661.55,6674.9,234182394,9281.02,18.81,3.1,1.37,8.855,8.855,8.855,8.855,-0.0034,10822,312934.65,57333,352397.94,60.6636
29-Apr-14,6684.5,6694.25,6621,6626.8,225550734,8118.29,18.69,3.08,1.38,8.83,8.83,8.83,8.83,-0.0028,16067,462131,61620,378485.78,60.4687
30-Apr-14,6636.7,6688.2,6556.05,6598.55,290574145,10206.2,18.58,3.06,1.38,8.83,8.83,8.83,8.83,0,17721,508513.65,59271,358232.73,60.3617
1-May-14,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9274,264925.98,33951,203418.22,60.2864
2-May-14,6615.95,6641.7,6596.55,6602,194800459,7062.69,18.52,3.05,1.42,8.811,8.811,8.811,8.811,-0.0022,16641,476344.11,58604,352426.59,60.1056
5-May-14,6590.75,6644.1,6590.75,6605.35,191808979,7094.83,18.44,3.05,1.42,8.736,8.736,8.736,8.736,-0.0085,10548,304967.9,62920,378249.12,60.1809
6-May-14,6624.9,6647.7,6606.85,6621.2,163967213,6103.89,18.5,3.05,1.42,8.778,8.778,8.778,8.778,0.0048,10903,314883.74,67391,404563.02,60.0371
7-May-14,6616.1,6626.2,6553.35,6561.95,194792590,8562.07,18.34,3.03,1.43,8.802,8.802,8.802,8.802,0.0027,16209,466930.21,78056,470758.2,60.0416
8-May-14,6579.25,6595.45,6545.5,6566.5,186871876,7367.92,18.31,3.02,1.45,8.761,8.761,8.761,8.761,-0.0047,11205,319568.6,59348,357298.68,59.9398
9-May-14,6560.75,6766.2,6558.9,6756.1,291125194,11471.5,18.85,3.1,1.41,8.748,8.748,8.748,8.748,-0.0015,9519,271788.6,70800,427286.44,59.922
12-May-14,6760.45,6902.9,6760.45,6898.7,264684762,11335.49,19.16,3.16,1.38,8.73,8.73,8.73,8.73,-0.0021,12463,355978.15,55049,329909.93,59.8882
13-May-14,6960.85,7055.95,6952.9,6999.45,403417815,15419.39,19.39,3.2,1.36,8.785,8.785,8.785,8.785,0.0063,10934,311862.21,62313,375728.17,59.5314
14-May-14,7004.55,7036.85,6980.35,7017.15,332367866,13646.1,19.41,3.21,1.36,#N/A,#N/A,#N/A,#N/A,#N/A,7384,211697.48,40854,248503.05,59.5264
15-May-14,7020.95,7062.2,6987.4,7024.05,319707500,12474.77,19.43,3.22,1.35,8.784,8.784,8.784,8.784,-0.0001,13844,394508.04,55497,335603.28,59.3995
16-May-14,7169.05,7452.25,7043.6,7115.4,636727763,27927.24,19.68,3.26,1.34,8.836,8.836,8.836,8.836,0.0059,12002,336917.84,47273,282953.61,58.7639
19-May-14,7188.95,7224.25,7127.1,7208.25,511889191,20510.91,19.98,3.3,1.32,8.864,8.864,8.864,8.864,0.0032,11252,316569.64,58159,348934.08,58.4441
